,Unnamed: 0,title,authors,journal,year,abstract,Relevance_Score
28,28,"Much research, but little learned to date: A scoping review of the methodological quality of research on mental health of healthcare professionals in low- and lower-middle income countries","Julia Lohmann, D. John, Aso Dzay · Jun 13, 202",Wellcome Open Research,2022,"Background: SARS-CoV-2 has resulted in widespread awareness of health workers’ work realities and their mental health impacts, and corresponding unprecedented research effort. Reviews of the quantitative literature on mental health of clinical skilled healthcare personnel in low- and lower-middle income countries (LLMIC), however, point at quality issues in the pre-pandemic literature. We used the evidence generated in the context of one pre-pandemic review to understand methodological strengths and weaknesses in detail, with the aim of distilling recommendations for future research. Methods: Our study used the literature identified in a systematic search up to the end of 2020, in English or French language, in MEDLINE, EMBASE, PsychINFO, Global Health, and CAIRN. Following a scoping review approach, we extracted and charted data on key study characteristics as well as on study quality. In regard to the latter, we developed nine quality criteria on the basis of existing quality checklists, but expanding on issues of particular relevance to the measurement and interpretation of levels of mental health or illness. We collated the charted data in descriptive fashion. Results: We included data from 152 studies, assessing a range of mental health outcomes, with a focus on burnout. Most studies were conducted in India, Nigeria, Pakistan, or Egypt, in urban secondary- and tertiary-care settings. We judged only 20% of studies as of high quality due to shortcomings particularly regarding sample representativeness, context-specific measurement tool validity, and reporting of methodological detail. Conclusion: We conclude that despite its impressive size, we can learn comparatively little from the body of literature up to the end of 2020 due to limitations in quality. Based on our findings, we outline areas for expansion, methodological improvement, and standardization of reporting in future research. PROSPERO Registration: CRD42019140036.",0.0
29,29,Association of measured quality with financial health among U.S. hospitals,"Samuel J Enumah, Andrew S. Resnick, D. Chang · Apr 20, 202",PLoS ONE,2022,"Background High-quality care is a clear objective for hospital leaders, but hospitals must balance investing in quality with financial stability. Poor hospital financial health can precipitate closure, limiting patients’ access to care. Whether hospital quality is associated with financial health remains poorly understood. The objective of this study was to compare financial performance at high-quality and low-quality hospitals. Methods We performed a retrospective observational cohort study of U.S. hospitals using the American Hospital Association and Hospital Compare datasets for years 2013 to 2018. We used multilevel mixed-effects linear and logistic regression models with fixed year effects and random intercepts for hospitals to identify associations between hospitals’ measured quality outcomes—30-day hospital-wide readmission rate and the patient safety indicator-90 (PSI-90)—and their financial margins and risk of financial distress in the same year and the subsequent year. Our sample included 20,919 observations from 4,331 unique hospitals. Results In 2018, the median 30-day readmission rate was 15.2 (interquartile range [IQR] 14.8–15.6), the median PSI-90 score was 0.96 (IQR 0.89–1.07), the median operating margin was -1.8 (IQR -9.7–5.9), and 750 (22.7%) hospitals experienced financial distress. Hospitals in the best quintile of readmission rates experienced higher operating margins (+0.95%, 95% CI [0.51–1.39], p < .001) and lower odds of distress (odds ratio [OR] 0.56, 95% CI [0.45–0.70], p < .001) in the same year as compared to hospitals in the worst quintile. Hospitals in the best quintile of PSI-90 had higher operating margins (+0.62%, 95% CI [0.17–1.08], p = .007) and lower odds of financial distress (OR 0.70, 95% CI [0.55–0.89], p = .003) as compared to hospitals in the worst quintile. The results were qualitatively similar for the same-year and lag-year analyses. Conclusion Hospitals that deliver high-quality outcomes may experience superior financial performance compared to hospitals with poor-quality outcomes.",0.0
30,30,It Is Time for Health Quality 5.0: Are You Ready?,"Leslee J Thompson · Oct 1, 202",Healthcare quarterly,2023,"The work of health leaders is broadening in scope, scale and urgency to respond to massive global changes and challenges - including risks to safe, accessible and high-quality healthcare, threats to planetary health, crises in workforce resiliency and erosion of public trust and confidence. To address these issues and deliver on other imperatives around equity and inclusive service co-production, health leaders must again fashion a new quality improvement (QI) agenda fit for the times and the future, aligned with the move from digitization to personalization. The new era, Health Quality 5.0, must enable and be embedded in an integrated, coordinated and people-centred health system, supported by a learning health system and new QI approaches.",0.0
31,31,Composite measures of quality of health care: Evidence mapping of methodology and reporting,"P. Kara, J. Valentin, J. Mainz",PLoS ONE,2022,"Background Quality indicators are used to quantify the quality of care. A large number of quality indicators makes assessment of overall quality difficult, time consuming and impractical. There is consequently an increasing interest for composite measures based on a combination of multiple indicators. Objective To examine the use of different approaches to construct composite measures of quality of care and to assess the use of methodological considerations and justifications. Methods We conducted a literature search on PubMed and EMBASE databases (latest update 1 December 2020). For each publication, we extracted information on the weighting and aggregation methodology that had been used to construct composite indicator(s). Results A total of 2711 publications were identified of which 145 were included after a screening process. Opportunity scoring with equal weights was the most used approach (86/145, 59%) followed by all-or-none scoring (48/145, 33%). Other approaches regarding aggregation or weighting of individual indicators were used in 32 publications (22%). The rationale for selecting a specific type of composite measure was reported in 36 publications (25%), whereas 22 papers (15%) addressed limitations regarding the composite measure. Conclusion Opportunity scoring and all-or-none scoring are the most frequently used approaches when constructing composite measures of quality of care. The attention towards the rationale and limitations of the composite measures appears low. Discussion Considering the widespread use and the potential implications for decision-making of composite measures, a high level of transparency regarding the construction process of the composite and the functionality of the measures is crucial.",0.0
32,32,Developing Meaningful Health Care Quality Metrics: An Example From Colonoscopy and Adenoma Detection,"D. Corley · Sep 27, 202",Annals of Internal Medicine,2022,"Health care quality is important. The World Health Organization defines health care quality as “the degree to which health services for individuals and populations increase the likelihood of desired health outcomes” (1). Thus, care must be both effective and broadly delivered. Quality measures and metrics help clinicians understand how we are doing and what we need to improve (2). However, although the adage “if you measure it, it gets done” is often true, it ignores the question of whether “it” is worth measuring at all. Extensive research addresses health care quality. Frameworks describe quality at the patient, provider, system, and societal levels, and via interpersonal and technical domains; frameworks also describe how measures can evaluate structures, processes, and outcomes (3–6). They include criteria such as feasibility, usability, importance, and scientific soundness. Pragmatic health care quality metrics would benefit from considering some concepts common in the business world, such as timeliness, strategy, and ownership (7, 8). In their article, Wisse and colleagues report a study that evaluates cancer screening quality with a common procedure: colonoscopy to follow a positive fecal immunochemical test (FIT) result in the Netherlands' screening program (9). It is useful to evaluate this example considering quality concepts from both the health care and business worlds. The Netherlands' colorectal cancer screening program has used impressive, evidence-based practices throughout its existence, including modeling to estimate risk, benefit, and person-power. The quality metric evaluated is the adenoma detection rate (ADR)—the percentage of colonoscopy examinations for a FIT-positive indication performed by a given endoscopist in which a precancerous polyp (that is, an adenoma) is detected. The outcome is postcolonoscopy risk for cancer. The quality of the colonoscopic examinations in the program is high: endoscopists' ADRs range between 40% and 82% with a median of 67%. Higher ADRs are strongly associated with lower patient risks for subsequent cancer (10). Even within this high range, likely from the higher-risk FIT-positive population, the associations are remarkably consistent with prior evaluations of lower-risk screening colonoscopies: every 1% increase in ADR is associated with a 4% to 5% reduction in the risk for postcolonoscopy cancers (10). These seemingly small ADR differences are deceptive—if an endoscopist increases their ADR by just 10%, their patients' associated decrease in relative interval cancer risk is a remarkable 40% to 50%. And this estimate is likely conservative, given the study excluded some cancers, and modeling studies suggest that, over a lifetime, higher ADRs are associated with even greater cancer prevention. This study provides an excellent framework for evaluating 9 concepts regarding effective quality metrics and how these can illustrate pathways for meaningful metrics for the care of other cancers and disorders. This is crucial, as metrics can be laboriously implemented without improving outcomes. Trustworthy: There is a clear, standard, transparent, reproducible, and accurate method for calculating and reporting the metric. Wisse and colleagues demonstrate trustworthiness in the use of clear definitions for adenoma detection, interval cancer, and other measures. Important: Leaders and clinicians who receive feedback must know the quality measure is clinically meaningful and, thus, important. Compelling observational data have reproducibly associated endoscopist ADR with meaningful differences in patient outcomes. Strategic: A strategic metric's development starts with the clinical goal in mind and then likely causal factors are identified, rather than using process measures of unclear importance. It also aligns with global organizational strategies. Here, the outcome is important (postcolonoscopy cancers and associated deaths), the metric itself is causally associated (identification of precancerous polyps for removal), and these are closely aligned with the screening program's strategic goals (decreasing cancer deaths). Relevant: The targets and methods should be applicable for the local setting. This is the key unique aspect of Wisse and colleagues' study. The consensus ADR standards created for colonoscopy screening programs were not relevant for the Netherlands' FIT-based program as most colonoscopies were for higher-risk FIT-positive patients. The investigators are to be commended for recognizing and using a relevant metric for their setting. Actionable: Effort should only be expended on measuring things that result in actions that improve outcomes. For example, inspection time during colonoscopy or “withdrawal time” has been proposed as a metric, but interventions solely focused on this measure did not consistently improve polyp detection or cancer prevention. In contrast, improvements in adenoma detection have been associated with improved subsequent cancer risk. Simple: Metrics should be straightforward to calculate, to understand, and to associate with the strategic goal. Complex mathematical models or multiple measures may impede adoption and obfuscate interventions. Incentives, if provided, should be clear, achievable, and timely. Conceptually, adenoma detection is simple to calculate, though, in some settings, the lack of electronic pathology or indication data impedes its use. However, Wisse and colleagues demonstrate that ADR is feasible to calculate. Gaming-resistant: Ideally, metrics should be calculated independent of the entity being evaluated. In the current example, neither the colonoscopy indication (FIT positivity) nor the pathology result (presence of adenoma on biopsy) is determined by the endoscopist. Time-stamped: The provision of recent data and feedback at regular intervals is needed to inform actionable",0.0
33,33,Health-related quality of life and associated factors among cancer patients in Ethiopia: Systematic review and meta-analysis,"Tadele Lankrew Ayalew, Belete Gelaw Wale, Kirubel Haile",PLOS ONE,2022,"Introduction Cancer is the main cause of morbidity and mortality in every part of the world, regardless of human development. Cancer patients exhibit a wide range of signs and symptoms. Being diagnosed with cancer has a variety of consequences that can affect one’s quality of life. The term ""health-related quality of life"" refers to a multidimensional concept that encompasses a person’s whole health. The availability of data on the prevalence of poor quality of life among cancer patients in Ethiopia is critical in order to focus on early detection and enhance cancer treatment strategies. In Ethiopia, however, there is a scarcity of information. As a result, the aim of this study was to determine the pooled estimated prevalence of quality of life among cancer patients in Ethiopia. Materials and methods This systematic review and meta-analysis were searched through MEDLINE, Pub Med, Cochrane Library, and Google Scholar by using different search terms on the prevalence of health-related quality of life of cancer patients and Ethiopia. Joanna Briggs Institute Meta-Analysis of Statistics Assessment and Review Instrument was used for critical appraisal of studies. The analysis was done using STATA 14 software. The Cochran Q test and I2 test statistics were used to test the heterogeneity of studies. The funnel plot and Egger’s test were used to show the publication bias. The pooled prevalence of health-related quality of life of cancer with a 95% confidence interval was presented using forest plots. Results A total of 12 studies with 3, 479 participants were included in this review and the overall pooled estimates mean score of health-related quality of life among cancer patients in Ethiopia was 57.91(44.55, 71.27, I2 = 98.8%, p≤0.001). Average monthly income (AOR:3.70;95%CI:1.31,6.10), Stage of cancer (AOR:4.92;95% CI:2.96,6.87), Physical functioning(AOR:4.11;95%CI:1.53,6.69), Social functioning(AOR:3.91;95% CI:1.68,6.14) were significantly associated with quality of life. Subgroup meta-analysis of health-related quality of life of cancer patients in Ethiopia done by region showed that a higher in Addis Ababa 83.64(78.69, 88.60), and lower in SNNP region16.22 (11.73, 20.71), and subgroup analysis done based on the type of cancer showed that higher prevalence of health-related quality of life among cancer patients was breast cancer 83.64(78.69, 88.60). Conclusion This review showed that the overall health related quality of life was above an average. Furthermore, average monthly income, cancer stage, physical, and social functioning were all significant determinants in cancer patients’ QOL.as a result, this review suggests that quality of life evaluation be incorporated into a patient’s treatment routine, with a focus on linked components and domains, as it is a critical tool for avoiding and combating the effects of cancer and considerably improving overall health. In general, more research is needed to discover crucial determining elements utilizing more robust study designs.",0.0
34,34,A Systematic Review and Meta-Analysis of Health Care Quality in Iran Based on the Comprehensive Quality Measurement in Health Care Model,"Nader Markazi-Moghaddam, Sanaz Zargar Balaye Jame, Mahdi Nikoomanesh",International Journal of Preventive Medicine,2023,"Background: Comprehensive assessment of health care quality is the first step in improving care and achieving health service goals. Therefore, this study aimed to conduct a systematic review and meta-analysis of health care quality in Iran based on the Comprehensive Quality Measurement in Health Care model. Methods: In this study, the databases of PubMed, Scopus, Web of Science, Iranian Scientific Information Database (SID), MagIran, and Google Scholar were searched using English and Iran keywords without time limit. STATA 16 software and a random effect model were used for conducting meta-analysis. Results: Of the 750 articles found, 20 were finally included; 13 of which were related to service quality, five to customer quality, and four to technical quality. Overall mean score of service quality was 7.79 [95% CI 7.43–8.15, df = 12, I2 = 98.48, P value < 0.000] out of 10, and overall mean score of customer quality was 73.20 ± 4.56 [95% CI 65.18–81.22, df = 5, I2 = 99.34, P value < 0.001] out of 100. Among the 12 dimensions of service quality, the confidentiality dimension (9.55 ± 0.12) had the highest mean score and the group support dimension (5.92 ± 0.901) had the lowest score. In general, from the viewpoint of service receivers, the technical quality is relatively favorable. Conclusions: According to the results of this study, the quality of health care in Iran is significantly far from ideal. Therefore, planning to improve providing health care is essential.",0.0
35,35,Role of diet quality in bone health in children and adolescents: a systematic review.,"L. Suhett, M. Filgueiras, Juliana Farias de Novaes",Nutrition reviews,2023,"CONTEXT
Poor diet quality and unhealthy dietary patterns have been linked to poor bone health, yet few studies have investigated the role of diet quality in bone health in pediatric populations.


OBJECTIVE
This systematic review aims to assess the available evidence on the association between diet quality and bone health markers in children and adolescents.


DATA SOURCES
The PubMed, Scopus, and Virtual Health Library databases were searched electronically from October to November 2022, without any restrictions on date or language. The STROBE (Strengthening the Reporting of Observational Studies in Epidemiology) checklist was used to assess the quality of the studies.


DATA EXTRACTION
Published observational studies in children and adolescents (ages 2 to 19 years) that investigated the association between diet quality and bone health were eligible for inclusion. Two researchers independently analyzed and selected all articles using the Rayyan app. Initially, 965 papers were identified. A total of 12 observational studies qualified, including 8 cross-sectional and 4 longitudinal studies. The sample comprised 7130 individuals aged 3 to 17.9 years, representing both sexes. Bone health was evaluated by measures of bone mineral density and bone mineral content.


DATA ANALYSIS
Seven studies (58.3%) showed significant associations between diet quality and bone health markers, all of which evaluated diet quality by identifying dietary patterns. Diet quality as evaluated by all dietary indexes was not associated with bone health markers.


CONCLUSIONS
Adherence to a healthy diet may benefit bone health in children and adolescents. These findings emphasize the importance of developing effective public health policies that encourage healthy eating habits from childhood to preserve bone health. Longitudinal research using a specific tool to assess diet quality in relation to bone health is warranted. Future studies should also measure bone-regulating hormones and markers of bone turnover.


SYSTEMATIC REVIEW REGISTRATION
PROSPERO registration no. CRD42022368610.",0.0
36,36,Web-based comparative study of some national experiences of health care quality management.,"L. O. Daré, F. Champagne, J. Denis",The International journal of health planning and management,2023,"Since the publication of study results on adverse events to health care in OECD countries, the importance of the national quality improvement strategies has been recognised. To examine how these strategies have been shaped in different jurisdictions, we carried out this study. We conducted a web-based comparative study of international practices. We first defined seven key health care and services quality management functions. We then drew on the experience of authors to make a reasoned selection of 13 countries or states across the world. We determined the distance that separates each of these functions from a country's Ministry of Health (MoH); and examined whether these functions are concentrated in a single organisation or dispersed across several organisations. Afterwards, we correlated our results with the quality level of these countries based on the OECD's health care indicators. Overall, Netherlands, Québec (Canada), Korea, Germany, England (UK), and the United States had at least 50% of their quality management functions controlled by self-regulated organisations. The Market Concentration Index ranged from 937 for the United States to 6800 for Russia. Graphical representation has shown us two health system models. Our results also clearly showed that countries had a better quality of care most often when they belong to model 1 of our taxonomy. These findings will help countries design and implement large-scale health care and services quality strategies for better and safer health care and services.",0.0
37,37,Investigation of the Associations between Diet Quality and Health-Related Quality of Life in a Sample of Swedish Adolescents,"Callum Regan, Hedda Walltott, Karin Kjellenberg",Nutrients,2022,"Most adolescents do not consume a high-quality diet, while self-reported mental health problems within this group are increasing. This study aimed to investigate the association between diet quality and health-related quality of life, and to explore the differences in diet quality and health-related quality of life between gender and parental education status. In this cross-sectional study, a detailed web-based recall method was implemented to determine dietary intake, which was analysed using the newly developed Swedish Healthy Eating Index for Adolescents 2015 (SHEIA15) and the Riksmaten Adolescents Diet Diversity Score (RADDS), to determine diet quality. The KIDSCREEN-10 questionnaire was used to measure health-related quality of life, and parental education was self-reported through questionnaires. Parental education was divided into two groups: ≤12 years or >12 years. The study included 1139 adolescents from grade 7 (13–14 years old), 51% were girls. The results showed that girls had higher scores for healthy eating and diet diversity but lower scores for health-related quality of life. A positive association was found between diet diversity and health-related quality of life (Adj R2 = 0.072, p = 0.001), between vegetable/fruit consumption and health-related quality of life (Adj R2 = 0.071, p = 0.002), and between healthy eating and diet diversity (Adj R2 = 0.214, p < 0.001). No association was found between healthy eating and health-related quality of life for all participants. The mean scores for healthy eating and diet diversity were significantly higher in the higher education parental group. In conclusion, higher diet diversity and increased fruit and vegetable consumption could be a strategy to improve health-related quality of life among adolescents. There is a need to promote better diet quality, especially in households of low parental education. In addition, there is a further need to investigate the potential benefits of improved diet quality on mental health and overall well-being.",0.0
38,38,Quality of health care in Germany: results of a pilot study to assess health system performance,"S. Schwaabe · Oct 1, 202",The European Journal of Public Health,2022,"Abstract Background Health System Performance Assessment (HSPA) is used as a tool to monitor and evaluate the performance of health systems and to inform evidence-based policymaking. For the first time, a systematic HSPA was piloted for Germany. The conceptual framework includes different dimensions, e.g., access, population health, efficiency, and quality of care. In the following, Germany’s performance is analysed in terms of quality of care. Methods Indicators to assess the dimension of quality of care were selected based on a systematic search of established instruments in national and international HSPA initiatives. Other criteria for the inclusion of indicators were data availability and international comparability. The indicators were evaluated in terms of their time trend (2000-2020) and in international comparison (e.g., Austria, Denmark, France). Results Overall, 17 indicators were selected to assess quality of care, of which two could not be analysed due to missing data. Indicators include, e.g., emergency readmissions after hospital stays, patient-reported medical errors, coercive measures in psychiatric wards, and in-hospital mortality. Trend analyses were possible for 14 indicators and most of them showed positive developments. In country comparisons, which were feasible for seven indicators, Germany mostly ranked below average. In-hospital mortality for acute myocardial infarction, e.g., was 8% in 2019 in Germany (other countries: 4%-7%) and has been stable since 2014. For stroke, Germany performs better and ranks three of five (6%; range: 5%-9%) in 2019. Conclusions Measuring quality of care for a systematic and comparative German HSPA was proven to be feasible. However, some indicators could not be mapped so far due to lack of data. The results give insights into quality measurements across different sectors and can support evidence-based policymaking. Key messages • In the first health system performance assessment (HSPA) for Germany, quality of care was evaluated over time (2000-2020) and compared to eight European countries using 17 indicators. • Measurement of quality was feasible, but data availability should be strengthened in the future as country comparisons were possible for only half the indicators and two could not be analysed at all.",0.031143265177928346
39,39,"Nutritional Status Is Associated with Health-Related Quality of Life, Physical Activity, and Sleep Quality: A Cross-Sectional Study in an Elderly Greek Population","S. Papadopoulou, M. Mantzorou, Gavriela Voulgaridou",Nutrients,2023,"This study aims to explore the associations between nutritional status and health-related quality of life, physical activity, and sleep quality in older exclusively Caucasian adults from Greec who were free of any severe disease. This is a cross-sectional study. Mini Nutritional Assessment was used to assess nutritional status, health-related quality of life was assessed using the Short Form Healthy Survey questionnaire, sleep quality was assessed using the Pittsburgh Sleep Quality Index, and physical activity levels were assessed via the International Physical Activity Questionnaire. 3405 community-dwelling men and women, over 65 years old from14 different Greek regions were enrolled. Ten-point four percent (10.4%) of the participants were classified as malnourished, while 35.6% were “at risk of malnutrition”. A better nutritional status was significantly and independently associated with higher physical activity levels (p = 0.0011) and better quality of life (p = 0.0135), as well as better sleep quality (p = 0.0202). In conclusion, our study highlights the interrelationships between a good nutritional status, a high-quality sleep, active lifestyle, and good quality of life. Further interventional studies are needed to clarify the associations, and test the feasibility of improving the nutritional status, physical activity levels and sleep quality of the elderly, and the impact of these changes on quality of life, and healthy ageing in races beyond Caucasian populations. Public health strategies and policies should be recommended to inform older adults for the necessity to improve their nutritional status and lifestyle habits to improve their health status and to obtain better life expectancy.",0.0
40,40,Quality Measures for Patients at Risk of Adverse Outcomes in the Veterans Health Administration: Expert Panel Recommendations.,"Evelyn T. Chang, S. Newberry, L. Rubenstein",JAMA network open,2022,"Importance
Despite longstanding efforts to improve health care quality for patients with complex needs who are at highest risk for hospitalization or death, to our knowledge, no guidance exists on what constitutes measurable high-quality care for this heterogeneous population. Identifying quality measures that are cross-cutting (ie, relevant to multiple chronic conditions and disease states) may enable health care professionals and health care systems to better design and report on quality improvement efforts for this patient population.


Objective
To identify quality measures of care and prioritize quality-of-care concepts in the ambulatory primary care setting for patients in the Veterans Health Administration (VHA) who have complex care needs and are at high risk for adverse outcomes, such as hospitalization or death.


Evidence Review
In this expert panel assessment and prioritization, relevant measure concepts for future quality measure development in 3 care categories (assessment, management, and other features of health care) were extracted from a systematic review, conducted from June 2020 to June 2021, of published studies that suggested, evaluated, or used indicators of quality care for patients at high risk of adverse outcomes. Measure concepts associated with single conditions, surgical or other specialty care settings, and inpatient care were excluded. A panel of 14 experts (10 VHA leaders and staff, 2 non-VHA physician investigators, and 2 veterans) discussed and rated the importance of the remaining set of potentially relevant measure concepts using a modified RAND/UCLA Appropriateness Method on January 15, 2021. Measure concepts were rated on a scale of 1 to 9, with 9 being the highest priority. A median rating of 7.5 or greater was used as the cutoff to identify the highest-priority items.


Findings
The systematic review identified 519 measure concepts, from which 15 domains and 49 measure concepts were proposed for expert panel consideration. After panel discussions and changes to measure concepts, the expert panel rated 63 measure concepts in 13 domains. The measure concepts with the highest median ratings focused on caregiver availability and support, COVID-19 vaccination, and pneumonia vaccination (all rated 9.0); housing instability (rated 8.5); and physical function, depression symptoms, cognitive impairment, prescription regimen, primary care follow-up after an emergency department visit or hospitalization, and timely transmission of discharge information to primary care (all rated 8.0). Recommendations to improve care included timely assessment of housing instability, caregiver support, physical function, depression symptoms, and cognitive impairment; annual prescription regimen review; coordinated transitions in care; and preventive care including vaccinations.


Conclusions and Relevance
The expert panelists identified a parsimonious set of high-priority, evidence-based, cross-cutting quality measure concepts for improving care of patients at high risk for adverse health outcomes in the VHA. These quality measures may inform both future research for patients at high risk and health care system quality improvement.",0.0
41,41,Quality of Life During Pregnancy from 2011 to 2021: Systematic Review,"A. Boutib, S. Chergaoui, A. Marfak",International Journal of Women's Health,2022,"Purpose Health-related quality of life (HRQoL) has emerged as a key concern in patient care. It has become one of the major objectives of clinical trials. Our study aims to describe the quality of life (QoL) during uncomplicated pregnancy and to assess its associated factors. Patients and Methods The search of articles was carried out using the online database of PUBMED and Web of Science with a limit of time between 2011 and 2021. Data were retrieved by two independent reviewers. Results 721 publications responding to keywords were identified, of which 73 articles on the topic were selected. The main countries that have published on this subject are Australia (n = 10) and China (n = 7). Twenty-three articles deal with QoL for pathological pregnancies. All the pathologies studied have a negative impact on the HRQoL of pregnant women, and its improvement depends on the type of treatment. Obesity, low back, and pelvic girdle pain, and hyperemesis gravidarum were the frequent pathologies during pregnancy. Socio-demographic characteristics related to improved well-being (favorable economic status, social support). Similarly, better sleep quality and moderate physical exercise were linked to an increased QoL. Physical and psychological factors were associated with a lower QoL. Conclusion The HRQoL refers to patients’ subjective evaluation of physical, mental, and social components of well-being. Optimizing the QoL during pregnancy necessitates a deeper understanding of their issues as well as counseling which provides support wherever needed.",0.0
42,42,The Servqual Method as an Assessment Tool of the Quality of Medical Services in Selected Asian Countries,"Aleksandra Jonkisz, P. Karniej, D. Krasowska · Jun 26, 202",International Journal of Environmental Research and Public Health,2022,"Introduction: The Servqual (an acronym from the words “service” and “quality”) method is used to assess the quality of provided services on the basis of standardised evaluation parameters. This method is based on five gaps resulting from the discrepancy between expected and received service quality. The aim of this meta-analysis and the systematic review was to view and assess the major differences in the five dimensions of the Servqual method used to evaluate the quality of delivered health care services in selected Asian countries. Another goal of the study was to confirm the use of the Servqual method as a suitable tool for assessing the quality of health care services. Methods: This study followed the PRISMA guidelines for systemic reviews and meta-analyses. The following electronic databases for medical publications were used: PubMed, Medline, Scopus, and Cochrane were searched for articles published from January 2000 to April 2020. The databases were explored with original search queries containing the following terms: “Servqual”, “service quality”, “Servqual model”, “servqual questionnaire”, “health service quality”, “health care services”, “patients’ expectation”, “patients’ perception”, “expectation”, “perception”, and “health care services”, in combination using “AND” and “OR”. In order to minimize bias, two researchers (PK and DK) independently performed an online search for peer-reviewed papers, using the combinations of the above-mentioned words. In addition, references of eligible publications were checked. All disagreements, regarding the inclusion or exclusion of specific studies, were resolved through consultations among all the authors. Results: A total of 96 reports were identified and submitted to a preliminary screening selection. As a result of the pre-screening stage, 64 papers were qualified to further evaluation. The output of the evaluation brought 15 reported studies, meeting the pre-defined inclusion/exclusion criteria. The total number of participants was 5903 (ranging from 20 to 439 in individual reports), and 54% of them were women. Eight studies (53%) were from Iran, two from Pakistan (13%) and one each from Arabia, Malaysia, South Korea, Bangladesh, and Iraq (each-about 7%). The results showed gaps between patients’ expectations and perceptions in all five dimensions of Servqual in almost each analysed study. The highest and lowest values of the gaps in quality scores were associated with the dimensions of reliability, tangibility, empathy, and responsiveness, respectively. Conclusions: The study demonstrated that the method of Servqual is broadly used in various medical sectors to assess the quality of medical services provided. In addition, the study demonstrated that patients had significantly higher expectations of the medical services offered in the five dimensions studied. The results, obtained through the Servqual method, may help improve and monitor the quality of services provided by different institutions.",0.10404936848169756
43,43,Public Reporting Of Hospital Quality Measures Has Not Led To Overall Quality Improvement: Evidence From Germany.,"E. E. Bayindir, Jonas Schreyögg · Apr 1, 202",Health affairs,2023,"Hospital quality has been measured and made publicly available for decades in the US and for more than a decade in Germany, as part of an effort to help those countries achieve quality improvement. The German hospital market presents a unique opportunity to examine the relationship between public reporting and quality improvement in the absence of performance-linked payment incentives in a high-income country. We considered quality indicators from several important categories of health services provided in hospitals (hip, knee, obstetrics, neonatology, heart, neck artery surgery, pressure ulcers, and pneumonia), using structured hospital quality reports from the period 2012-19. Our findings support the idea that public reporting provides a quality benchmark and prevents the provision of very low quality health care services, suggesting that imposing financial punishment on low performers is not necessary and may hinder quality improvement and aggravate health disparities. Although hospitals' intrinsic motivation and market forces play roles in improving quality, they are not sufficient to maintain the quality of high-performing hospitals. Therefore, in addition to rewarding high-performing institutions, aligning quality incentives with the intrinsic professional values of clinical care may be useful in achieving quality improvement.",0.0
44,44,The role of health-related quality of life in improving cancer outcomes,"J. Nolazco, Steven L. Chang · Mar 28, 202",Journal of Clinical and Translational Research,2023,"In 1948, the World Health Organization defined health as “a state of complete physical, mental, and social well-being and not merely the absence of disease or infirmity.” This perspective emphasizes that health goes beyond merely being free from illness, encompassing numerous aspects of an individual’s well-being [1]. With the ongoing evolution of oncology and the promising potential of health-related quality of life (HRQoL) to enhance cancer patient outcomes, an exceptional opportunity for improving health emerges. Despite significant progress in grasping disease progression and treatment efficacy, an urgent need persists in harnessing HRQoL’s power [2]. Actively gathering “non-clinical” information from cancer survivors during various stages of diagnosis, treatment, and survivorship allows health-care professionals to obtain crucial insights into factors affecting patient outcomes [3]. Employing this approach, clinicians can more effectively customize treatments to address individual patient requirements, ultimately boosting the overall QoL for those with cancer. Consequently, it is essential to acknowledge HRQoL’s significance and capitalize on these factors’ opportunities for advancement.",0.0
45,45,Introduction to quality improvement: From corridor conversation to system change,"A. Matthews, Adelene Hilbig · Aug 26, 202",Emergency Medicine Australasia,2023,"Improving the health of a population is the distilled aim of any health system, often concealed within a myriad of complex processes and pathways. Quality improvement (QI) is the combined and unceasing efforts of all in this space – clinicians, administrators, patients and others – to uphold this focus and make changes that produce better system performance and patient outcomes. Here, we introduce relevant definitions, methodologies and ethics for clinicians new to QI. The manufacturing industry has been credited with establishing the formal mechanisms we now recognise as QI. In the 1920s, statistician and mathematician Walter Shewhart described four sequential steps performed iteratively to better control manufacturing outputs: Plan, Do, Check/Study and Act. Deming, Juran and Ishikawa tailored the approach to Japanese manufacturing after World War II to reduce undesirable variability, improve production quality and lower costs. Similar methods were thereafter adopted across diverse industries, including healthcare, albeit sporadically prior to the 1980s. Forms of QI have existed in medicine for many centuries, including Florence Nightingale’s pioneering efforts in infection control. Progressive engagement with patients as stakeholders in their own care, and recognition that healthcare organisations and clinicians have a responsibility to improve the quality of care, have led to proliferation of QI initiatives. Ongoing investment in healthcare quality has generated numerous government and nongovernment QI agencies in support.",0.0
